lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.645547,-79.403496,West Queen West,3,20,0.168,0.4,0.1,0.375,24.22,Low,#00ff00,"{'crime_contribution': 6.72, 'poi_contribution': 8.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.646384,-79.403842,West Queen West,3,36,0.168,0.72,0.1,0.375,30.62,Medium,#ffff00,"{'crime_contribution': 6.72, 'poi_contribution': 14.4, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.639562,-79.40104,Fort York-Liberty Village,2,8,0.16,0.16,0.1,0.25,16.6,Low,#00ff00,"{'crime_contribution': 6.4, 'poi_contribution': 3.2, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.640642,-79.401475,West Queen West,2,24,0.168,0.48,0.1,0.25,23.32,Low,#00ff00,"{'crime_contribution': 6.72, 'poi_contribution': 9.6, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.639585,-79.400827,Harbourfront-CityPlace,2,10,0.153,0.2,0.1,0.25,17.12,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 4.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.64068,-79.401269,Harbourfront-CityPlace,2,19,0.153,0.38,0.1,0.25,20.72,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 7.6, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.640862,-79.401296,Wellington Place,4,24,0.339,0.48,0.1,0.5,35.15,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 9.6, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.63886,-79.401179,Fort York-Liberty Village,2,18,0.16,0.36,0.1,0.25,20.6,Low,#00ff00,"{'crime_contribution': 6.4, 'poi_contribution': 7.2, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.638933,-79.401024,Fort York-Liberty Village,2,20,0.16,0.4,0.1,0.25,21.4,Low,#00ff00,"{'crime_contribution': 6.4, 'poi_contribution': 8.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.651283,-79.406246,Trinity-Bellwoods,2,36,0.279,0.72,0.2,0.25,34.57,Medium,#ffff00,"{'crime_contribution': 11.17, 'poi_contribution': 14.4, 'street_contribution': 4.0, 'degree_contribution': 5.0}"
43.654343,-79.406957,Trinity-Bellwoods,3,14,0.279,0.28,0.1,0.375,26.27,Low,#00ff00,"{'crime_contribution': 11.17, 'poi_contribution': 5.6, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.654375,-79.406759,Kensington-Chinatown,2,17,0.701,0.34,0.1,0.25,41.85,Medium,#ffff00,"{'crime_contribution': 28.05, 'poi_contribution': 6.8, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.659129,-79.387339,Yonge-Bay Corridor,2,33,1.0,0.66,0.2,0.25,62.2,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 13.2, 'street_contribution': 4.0, 'degree_contribution': 5.0}"
43.657992,-79.353427,South Riverdale,2,22,0.284,0.44,0.1,0.25,27.16,Low,#00ff00,"{'crime_contribution': 11.36, 'poi_contribution': 8.8, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.657546,-79.356139,Regent Park,2,24,0.248,0.48,0.1,0.25,26.5,Low,#00ff00,"{'crime_contribution': 9.9, 'poi_contribution': 9.6, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.658132,-79.353493,South Riverdale,2,23,0.284,0.46,0.1,0.25,27.56,Low,#00ff00,"{'crime_contribution': 11.36, 'poi_contribution': 9.2, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.65146,-79.382066,Yonge-Bay Corridor,3,51,1.0,1.0,0.1,0.375,69.5,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
