source,target,weight,length_m,street_name,highway_type,start_node_weight,end_node_weight,category
184,185,46.33342353286225,520.8739055592399,Barton Avenue,residential,23.93,37.0,Low
186,187,47.590000402892045,94.5262282173884,Bloor Street West,primary,45.8,41.16,Low
188,189,56.308373378651545,267.7783041461565,Selby Street,residential,50.4,38.43,Medium
189,190,44.38186714083268,214.94298222920008,Huntley Street,residential,38.43,34.63,Low
191,192,40.75502033385028,264.50575035216525,Earl Street,residential,24.63,39.83,Low
193,190,44.766034891656744,149.91099130893252,Isabella Street,residential,43.23,34.63,Low
190,194,33.39036630437344,97.28446613123357,Huntley Street,residential,34.63,26.23,Low
196,197,46.04738088010259,123.10685073420944,St Paul's Square,residential,34.03,47.97,Low
198,199,58.39855569268407,311.00136250272897,Scollard Street,residential,54.29,34.8,Medium
200,201,45.54008103213548,201.58525150753235,Webster Avenue,residential,32.1,43.7,Low
202,203,46.527987743657356,94.77618220370249,Hazelton Avenue,residential,48.9,36.1,Low
205,206,39.81121388321653,188.39444427512032,Bishop Street,residential,28.9,38.1,Low
207,208,44.16724393236108,151.3880065787561,Rosedale Valley Road,tertiary,36.66,40.06,Low
210,211,50.62868354564869,76.29004136157924,Church Street,tertiary,47.34,46.74,Medium
212,213,46.21654477503389,106.71802622207596,Church Street,tertiary,43.36,40.16,Low
213,212,46.22875077786322,107.01031556185868,Church Street,tertiary,40.16,43.36,Low
214,215,55.48925933121975,83.56296292168997,Church Street,tertiary,57.96,44.46,Medium
213,216,50.22253096412946,118.29282930593325,Church Street,tertiary,40.16,49.66,Medium
2601,2604,40.43740846657961,143.59186839874482,Collier Street,residential,42.96,27.76,Low
9158,217,41.37102361687917,137.81693115729306,Collier Street,residential,25.66,47.06,Low
219,220,57.75572430176705,129.14417012252292,Bloor Street East,primary,52.96,49.34,Medium
13,189,49.26461509402055,112.57034991012975,Huntley Street,residential,50.13,38.43,Low
222,223,25.584305873040762,221.4994448813924,Jersey Avenue,residential,20.73,21.16,Low
222,224,22.989836669272734,116.28243113730213,Page Street,residential,20.73,20.46,Low
225,226,45.72982125241714,97.5596124425091,Clinton Street,residential,52.17,31.16,Low
227,228,33.45076359811169,99.99222617927298,Manning Avenue,residential,37.96,22.86,Low
228,229,29.500835393936537,276.5398266523816,Lennox Street,residential,22.86,23.36,Low
230,231,15.635498231456612,4.852071430373408,Unnamed,service,15.56,15.56,Low
232,233,24.871032969260508,140.34997566531436,Euclid Avenue,residential,21.16,22.46,Low
234,235,16.353466659443985,138.82079801141964,Unnamed,service,14.36,14.36,Low
229,236,40.485459896316854,151.4635920454167,Palmerston Boulevard,residential,23.36,46.96,Low
237,238,38.62081184419869,154.23824997605183,Markham Street,construction,44.06,22.86,Low
239,240,21.13768897975203,138.88410451250158,Markham Street,residential,18.36,18.76,Low
239,238,23.458933870425998,138.23065843891305,Markham Street,residential,18.36,22.86,Low
242,243,38.21268851933097,204.87745607223627,Roxton Road,residential,42.97,20.46,Low
245,246,45.266399803567474,307.52165810420206,Crawford Street,residential,29.12,40.12,Low
247,248,43.8313609726244,401.25834311459084,Montrose Avenue,residential,40.6,21.96,Low
250,251,23.896778917547287,76.67397691134423,North Beatrice Street,residential,21.93,22.46,Low
252,7275,30.58349437160161,273.7815231820747,Montrose Avenue,residential,20.46,27.56,Low
253,254,20.25035377115448,54.15688553641222,Crawford Street,residential,17.96,20.46,Low
243,255,24.68083394363728,136.84172932460984,Dewson Street,residential,20.46,22.96,Low
255,254,24.6527329188052,135.54734771097188,Dewson Street,residential,22.96,20.46,Low
256,257,38.894974516538525,136.94751582983127,Ulster Street,residential,23.76,44.66,Low
258,259,33.33982162567583,203.16931164474315,Manning Avenue,residential,31.36,24.06,Low
260,261,22.191121849618767,121.04682241064727,Jersey Avenue,residential,20.46,19.13,Low
222,262,31.808511903619102,163.22954483887747,Unnamed,service,20.73,33.96,Low
263,264,36.01043015152958,60.37780187071799,Laundry Lane,service,33.96,33.96,Low
265,266,28.411976017420603,51.90581330694574,Unnamed,footway,29.26,24.76,Low
266,267,21.968410873382986,68.50247438633187,Unnamed,steps,24.76,16.36,Low
269,270,22.0600537315207,61.600275819090406,Unnamed,footway,22.03,19.53,Low
271,272,20.205163927926236,34.57060562858356,Unnamed,steps,20.33,18.73,Low
273,1078,23.13050055050847,121.20700681088061,Pendrith Lane,service,18.73,22.53,Low
274,275,21.86245862164505,119.42952491782123,Unnamed,service,19.13,19.93,Low
276,277,30.634450947536212,421.88215119685356,Dewson Street,residential,17.96,25.13,Low
278,279,39.36335425774475,307.10125378531455,Concord Avenue,residential,40.67,19.56,Low
280,281,27.265252644614346,332.6125437250414,Delaware Avenue,residential,17.96,22.96,Low
283,2612,47.18415443665675,140.26472780707482,Unnamed,service,40.96,41.8,Low
285,283,38.85438125249914,215.71906296930985,Concord Avenue,residential,22.96,40.96,Low
285,279,28.29069306361107,330.700520395629,Concord Avenue,residential,22.96,19.56,Low
288,287,45.65662991635623,134.0444589258873,Sussex Avenue,residential,40.06,40.46,Low
288,289,45.76329434275887,109.14431271834387,Sussex Avenue,residential,40.06,42.46,Low
149,290,51.41344334065337,22.949529260910722,Sussex Avenue,residential,50.66,49.86,Medium
289,291,66.63098232119155,251.05111380382178,Robert Street,residential,42.46,64.06,Medium
292,293,41.39045366411077,38.39572664603042,Major Street,residential,39.86,39.86,Low
292,294,46.65915457525223,205.351448598611,Major Street,residential,39.86,37.56,Low
295,296,49.45959344992142,214.9249189369053,Robert Street,residential,37.56,43.86,Low
295,297,46.20514782423799,198.26628174891044,Robert Street,residential,37.56,39.56,Low
298,299,66.25853010141832,348.22525386953544,Brunswick Avenue,residential,42.06,56.23,Medium
298,300,53.82168491504429,205.14296719758826,Brunswick Avenue,residential,42.06,47.26,Medium
287,301,46.92389511589478,168.42368316471078,Brunswick Avenue,residential,40.46,39.86,Low
